epoch,train_loss,train_acc,val_acc
1,0.6953,0.4186,0.5000
2,0.6879,0.5581,0.5000
3,0.6677,0.6977,0.3636
4,0.6498,0.6279,0.3182
5,0.5957,0.7209,0.3636
6,0.5262,0.8372,0.5909
7,0.3983,0.8605,0.7273
8,0.2892,0.8837,0.6818
9,0.2087,0.9070,0.6364
10,0.3137,0.9186,0.5909
11,0.1913,0.9419,0.7727
12,0.1400,0.9651,0.7727
13,0.0587,0.9884,0.7727
14,0.1259,0.9767,0.6364
15,0.0980,0.9884,0.8636
16,0.0642,0.9884,0.8636
17,0.0816,0.9767,0.8636
18,0.0860,0.9884,0.8636
19,0.0649,0.9884,0.8636
20,0.0887,0.9767,0.8636
