epoch,train_loss,train_acc,val_acc
1,0.6927,0.4651,0.5000
2,0.6943,0.5465,0.5455
3,0.6950,0.5116,0.2727
4,0.6834,0.5465,0.5455
5,0.6851,0.5814,0.7273
6,0.6799,0.5465,0.6818
7,0.6859,0.5233,0.5455
8,0.6693,0.6163,0.5909
9,0.6050,0.7442,0.5909
10,0.6262,0.6279,0.5000
11,0.5722,0.7326,0.5455
12,0.4917,0.8023,0.5455
13,0.4914,0.7791,0.5000
14,0.4385,0.8488,0.5000
15,0.4506,0.8256,0.5455
16,0.3183,0.8953,0.5000
17,0.3972,0.8721,0.5000
18,0.4000,0.8605,0.5000
19,0.3611,0.8837,0.5000
20,0.3505,0.8721,0.5000
