epoch,train_loss,train_acc,val_acc
1,0.6958,0.4651,0.4545
2,0.6902,0.6512,0.3636
3,0.6724,0.7209,0.3636
4,0.7075,0.4419,0.6364
5,0.6959,0.5000,0.4545
6,0.7133,0.4419,0.4091
7,0.7082,0.4419,0.4091
8,0.7037,0.4767,0.4091
9,0.6985,0.5000,0.5000
10,0.6964,0.5233,0.5000
11,0.6946,0.5233,0.5000
12,0.6873,0.5233,0.5455
13,0.6937,0.4767,0.5455
14,0.6758,0.6395,0.4091
15,0.6801,0.5930,0.3636
16,0.6441,0.6977,0.3636
17,0.6240,0.7442,0.3636
18,0.6606,0.6512,0.3636
19,0.6434,0.6744,0.3636
20,0.6319,0.6744,0.3636
