Data root: /mnt/lv2/data/ad/ADReSS
Model: /home/sunqi/models/wavlm-base
Output dir: /home/sunqi/pd/new/results_adress_auto/mask_random_binary_1_20260208_152027
Mask strategy: random
Collected 108 samples from ADReSS train (cc=True, cd=True)
Split by subject: train=86 samples, val=22 samples
Using masker: mask_prob=0.4, pathology_ratio=0.9, pathology_threshold=85.0, aug_prob=1.0
LR schedule: cosine (total_steps=440, warmup=44)
Training with AMP (autocast + GradScaler)
Epoch 1 TRAIN | loss=0.6958, acc=0.4651
VALIDATION | acc=0.4545
New best val_acc=0.4545 at epoch 1, saved to /home/sunqi/pd/new/results_adress_auto/mask_random_binary_1_20260208_152027/best_model.pt
Epoch 2 TRAIN | loss=0.6902, acc=0.6512
VALIDATION | acc=0.3636
Epoch 3 TRAIN | loss=0.6724, acc=0.7209
VALIDATION | acc=0.3636
Epoch 4 TRAIN | loss=0.7075, acc=0.4419
VALIDATION | acc=0.6364
New best val_acc=0.6364 at epoch 4, saved to /home/sunqi/pd/new/results_adress_auto/mask_random_binary_1_20260208_152027/best_model.pt
Epoch 5 TRAIN | loss=0.6959, acc=0.5000
VALIDATION | acc=0.4545
Epoch 6 TRAIN | loss=0.7133, acc=0.4419
VALIDATION | acc=0.4091
Epoch 7 TRAIN | loss=0.7082, acc=0.4419
VALIDATION | acc=0.4091
Epoch 8 TRAIN | loss=0.7037, acc=0.4767
VALIDATION | acc=0.4091
Epoch 9 TRAIN | loss=0.6985, acc=0.5000
VALIDATION | acc=0.5000
Epoch 10 TRAIN | loss=0.6964, acc=0.5233
VALIDATION | acc=0.5000
Epoch 11 TRAIN | loss=0.6946, acc=0.5233
VALIDATION | acc=0.5000
Epoch 12 TRAIN | loss=0.6873, acc=0.5233
VALIDATION | acc=0.5455
Epoch 13 TRAIN | loss=0.6937, acc=0.4767
VALIDATION | acc=0.5455
Epoch 14 TRAIN | loss=0.6758, acc=0.6395
VALIDATION | acc=0.4091
Epoch 15 TRAIN | loss=0.6801, acc=0.5930
VALIDATION | acc=0.3636
Epoch 16 TRAIN | loss=0.6441, acc=0.6977
VALIDATION | acc=0.3636
Epoch 17 TRAIN | loss=0.6240, acc=0.7442
VALIDATION | acc=0.3636
Epoch 18 TRAIN | loss=0.6606, acc=0.6512
VALIDATION | acc=0.3636
Epoch 19 TRAIN | loss=0.6434, acc=0.6744
VALIDATION | acc=0.3636
Epoch 20 TRAIN | loss=0.6319, acc=0.6744
VALIDATION | acc=0.3636
Done. Best val_acc=0.6364
Results saved under /home/sunqi/pd/new/results_adress_auto/mask_random_binary_1_20260208_152027
