epoch,train_loss,train_acc,val_acc
1,0.6975,0.4302,0.5000
2,0.6911,0.6279,0.4545
3,0.6898,0.5233,0.5909
4,0.6713,0.6395,0.5000
5,0.6853,0.4651,0.5000
6,0.6664,0.6395,0.5000
7,0.6571,0.6279,0.6818
8,0.6426,0.6279,0.6364
9,0.5868,0.7209,0.6364
10,0.5836,0.7558,0.6364
11,0.5169,0.7791,0.8182
12,0.4957,0.7442,0.6364
13,0.3971,0.8605,0.5909
14,0.4023,0.8837,0.5909
15,0.3573,0.8605,0.5909
16,0.4402,0.8256,0.6364
17,0.4816,0.8023,0.5909
18,0.2808,0.9186,0.6364
19,0.3481,0.8605,0.6364
20,0.3302,0.8953,0.6364
