epoch,train_loss,train_acc,val_acc
1,0.6865,0.5159,0.8333
2,0.5672,0.8217,0.7000
3,0.3715,0.8854,0.9000
4,0.2853,0.9045,0.8000
5,0.1701,0.9554,0.9000
6,0.1127,0.9745,0.9000
7,0.0802,0.9809,0.9333
8,0.0453,0.9936,0.9000
9,0.0397,0.9936,0.9000
10,0.0650,0.9873,0.9333
11,0.0057,1.0000,0.8667
12,0.0068,1.0000,0.9333
13,0.0053,1.0000,0.9000
14,0.0043,1.0000,0.9000
15,0.0097,1.0000,0.9000
16,0.0037,1.0000,0.9000
17,0.0090,1.0000,0.9000
18,0.0413,0.9936,0.9000
19,0.0035,1.0000,0.9000
20,0.0025,1.0000,0.9000
