epoch,train_loss,train_acc,val_acc
1,0.6903,0.5605,0.1333
2,0.6198,0.7898,0.2667
3,0.4013,0.8790,0.2667
4,0.3983,0.8726,0.7000
5,0.1759,0.9554,0.7333
6,0.2719,0.9363,0.7667
7,0.3384,0.9172,0.8333
8,0.3314,0.9172,0.8333
9,0.4490,0.8854,0.7667
10,0.1778,0.9554,0.8000
11,0.2433,0.9427,0.7000
12,0.2414,0.9427,0.8000
13,0.0200,1.0000,0.7333
14,0.1146,0.9745,0.7667
15,0.0371,0.9936,0.7667
16,0.0443,0.9873,0.7667
17,0.0660,0.9809,0.8667
18,0.0782,0.9873,0.7667
19,0.0369,0.9936,0.8000
20,0.0438,0.9936,0.8000
