epoch,train_loss,train_acc,val_acc
1,0.6879,0.4841,0.5667
2,0.6418,0.6752,0.2000
3,0.4906,0.8089,0.1667
4,0.4484,0.8535,0.1667
5,0.5097,0.7771,0.2000
6,0.4341,0.8408,0.1667
7,0.3687,0.8726,0.1333
8,0.3200,0.9108,0.2000
9,0.2700,0.9299,0.2000
10,0.4081,0.8917,0.2333
11,0.4223,0.8599,0.1667
12,0.1953,0.9554,0.2000
13,0.2002,0.9554,0.2333
14,0.2219,0.9490,0.2000
15,0.1869,0.9618,0.2333
16,0.1806,0.9554,0.2000
17,0.1999,0.9554,0.2333
18,0.1728,0.9618,0.2333
19,0.1559,0.9682,0.2333
20,0.1594,0.9618,0.2333
