epoch,train_loss,train_acc,val_acc
1,0.6958,0.4777,0.6000
2,0.6455,0.7134,0.1667
3,0.5226,0.8217,0.3000
4,0.5020,0.7707,0.1667
5,0.3445,0.8662,0.8000
6,0.3722,0.8917,0.7667
7,0.3306,0.9172,0.8667
8,0.2693,0.9299,0.8667
9,0.2786,0.9363,0.8667
10,0.2704,0.9363,0.7667
11,0.2452,0.9363,0.9000
12,0.2541,0.9490,0.8667
13,0.1007,0.9745,0.8333
14,0.1448,0.9682,0.9000
15,0.0690,0.9873,0.9000
16,0.1370,0.9682,0.8667
17,0.0693,0.9873,0.8667
18,0.0805,0.9809,0.8667
19,0.0262,0.9936,0.9000
20,0.0519,0.9873,0.9000
