epoch,train_loss,train_acc,val_acc
1,0.6954,0.5000,0.5000
2,0.6854,0.6047,0.3182
3,0.6576,0.7326,0.3636
4,0.6092,0.7209,0.3636
5,0.5861,0.7209,0.5455
6,0.4471,0.8372,0.5909
7,0.4855,0.8256,0.4545
8,0.2823,0.9070,0.5909
9,0.1826,0.9535,0.8636
10,0.1215,0.9767,0.4545
11,0.2078,0.9535,0.5909
12,0.0924,0.9884,0.7273
13,0.1473,0.9767,0.5909
14,0.0817,0.9884,0.6364
15,0.0365,0.9884,0.6364
16,0.0672,0.9884,0.6364
17,0.0756,0.9884,0.6364
18,0.0651,0.9884,0.6364
19,0.1187,0.9767,0.6364
20,0.1382,0.9767,0.6364
