epoch,train_loss,train_acc,val_acc
1,0.6952,0.5000,0.4545
2,0.6896,0.5116,0.4545
3,0.6821,0.5814,0.5455
4,0.6539,0.6860,0.5000
5,0.6041,0.6628,0.5455
6,0.6131,0.7791,0.4545
7,0.5414,0.7558,0.6364
8,0.3914,0.8953,0.5455
9,0.5513,0.7558,0.5909
10,0.4638,0.8023,0.5000
11,0.4162,0.8256,0.4545
12,0.3667,0.8837,0.5455
13,0.2040,0.9535,0.5000
14,0.3085,0.9186,0.4545
15,0.3000,0.8953,0.5000
16,0.2825,0.9070,0.5000
17,0.2485,0.9070,0.5000
18,0.2089,0.9535,0.4545
19,0.1984,0.9535,0.4545
20,0.2767,0.9070,0.4545
