epoch,train_loss,train_acc,val_acc
1,0.6925,0.5503,0.5833
2,0.6759,0.6032,0.6667
3,0.7000,0.5450,0.4583
4,0.7100,0.4815,0.6042
5,0.6803,0.5714,0.6250
6,0.6217,0.7196,0.5208
7,0.5762,0.6984,0.6458
8,0.5632,0.7196,0.6250
9,0.4416,0.8095,0.6667
10,0.3314,0.8783,0.6458
11,0.3352,0.8889,0.6667
12,0.3060,0.9048,0.7083
13,0.2150,0.9418,0.6042
14,0.2752,0.9259,0.6458
15,0.1462,0.9630,0.6458
16,0.1213,0.9683,0.6667
17,0.0827,0.9841,0.6458
18,0.1143,0.9683,0.6458
19,0.1300,0.9683,0.6458
20,0.0828,0.9841,0.6458
