epoch,train_loss,train_acc,val_acc
1,0.6942,0.5132,0.5625
2,0.6952,0.5079,0.5625
3,0.6937,0.5291,0.4583
4,0.6773,0.6085,0.5000
5,0.6578,0.6190,0.5000
6,0.6446,0.6243,0.5625
7,0.6108,0.6931,0.5208
8,0.5617,0.7196,0.5833
9,0.5092,0.7937,0.5833
10,0.4962,0.7778,0.6042
11,0.5319,0.7884,0.5833
12,0.5042,0.7884,0.5625
13,0.4220,0.8466,0.5625
14,0.4508,0.8201,0.6042
15,0.3703,0.8677,0.5833
16,0.3371,0.8836,0.5625
17,0.2927,0.8995,0.5833
18,0.2772,0.9206,0.5625
19,0.3174,0.9048,0.5833
20,0.2890,0.9101,0.5833
