epoch,train_loss,train_acc,val_acc
1,0.6956,0.4621,0.4706
2,0.6831,0.6364,0.5294
3,0.6786,0.6136,0.5588
4,0.6140,0.7121,0.6176
5,0.5383,0.7879,0.6765
6,0.6147,0.7045,0.5882
7,0.6592,0.6288,0.6765
8,0.5650,0.7273,0.6176
9,0.4382,0.8409,0.6765
10,0.3486,0.8712,0.7059
11,0.3036,0.9242,0.7059
12,0.2285,0.9394,0.6765
13,0.2052,0.9394,0.6765
14,0.1400,0.9545,0.6765
15,0.1497,0.9697,0.7059
16,0.1133,0.9697,0.6765
17,0.1349,0.9773,0.6765
18,0.1560,0.9621,0.6471
19,0.2293,0.9470,0.6765
20,0.1621,0.9621,0.6471
