epoch,train_loss,train_acc,val_acc
1,0.6949,0.5000,0.5294
2,0.6913,0.5076,0.6471
3,0.6853,0.5227,0.6176
4,0.6592,0.6212,0.4412
5,0.6966,0.5227,0.3824
6,0.6920,0.5833,0.5000
7,0.7006,0.5379,0.4706
8,0.6940,0.5455,0.5294
9,0.7083,0.5076,0.5294
10,0.6945,0.5455,0.5294
11,0.7014,0.4848,0.5882
12,0.6970,0.5152,0.5000
13,0.6866,0.5303,0.5294
14,0.6748,0.5909,0.5588
15,0.6946,0.5000,0.5882
16,0.6820,0.5833,0.5588
17,0.6694,0.6212,0.5294
18,0.6400,0.6970,0.5294
19,0.6675,0.5530,0.5294
20,0.6472,0.6439,0.5294
