epoch,train_loss,train_acc,val_acc
1,0.6910,0.5169,0.5217
2,0.6788,0.5506,0.7391
3,0.5790,0.8539,0.6957
4,0.3518,0.9326,0.7391
5,0.2452,0.9438,0.7826
6,0.1649,0.9551,0.7826
7,0.1533,0.9663,0.7826
8,0.0610,0.9888,0.7391
9,0.0310,1.0000,0.7826
10,0.2132,0.9551,0.6957
11,0.0840,0.9888,0.7826
12,0.0718,0.9888,0.7826
13,0.0226,0.9888,0.7826
14,0.0357,1.0000,0.7826
15,0.0636,0.9888,0.7391
16,0.0139,1.0000,0.7826
17,0.0296,0.9888,0.7826
18,0.0123,1.0000,0.7826
19,0.0170,1.0000,0.7826
20,0.0148,1.0000,0.7826
