epoch,train_loss,train_acc,val_acc
1,0.6925,0.5056,0.4783
2,0.6835,0.6292,0.6957
3,0.6350,0.6517,0.6087
4,0.7163,0.5056,0.6087
5,0.7015,0.5393,0.6957
6,0.6523,0.6404,0.6522
7,0.6204,0.7079,0.6087
8,0.5746,0.7753,0.5652
9,0.5222,0.7865,0.5652
10,0.4849,0.7978,0.5652
11,0.4005,0.8652,0.5652
12,0.4363,0.8202,0.5652
13,0.2675,0.9438,0.5217
14,0.3036,0.8989,0.5652
15,0.2607,0.9101,0.5652
16,0.2012,0.9551,0.5652
17,0.2263,0.9438,0.5652
18,0.1521,0.9663,0.5652
19,0.0724,0.9888,0.5652
20,0.1224,0.9775,0.5652
