epoch,train_loss,train_acc,val_acc
1,0.6893,0.5223,0.7667
2,0.6263,0.7261,0.6333
3,0.5109,0.8153,0.7000
4,0.4107,0.8535,0.5000
5,0.3337,0.8854,0.5333
6,0.3311,0.8854,0.5333
7,0.1926,0.9490,0.5667
8,0.2126,0.9490,0.5000
9,0.2031,0.9554,0.5667
10,0.2330,0.9490,0.7667
11,0.2182,0.9427,0.7333
12,0.1088,0.9745,0.7000
13,0.0201,0.9936,0.7333
14,0.0458,0.9936,0.7000
15,0.0441,0.9873,0.7667
16,0.0294,0.9936,0.7333
17,0.1217,0.9682,0.7667
18,0.0105,1.0000,0.7667
19,0.0146,0.9936,0.7667
20,0.0146,0.9936,0.7667
