Data root: /mnt/lv2/data/ad/NCMMSC2021_AD
Model: /home/sunqi/models/wavlm-base
Output dir: /home/sunqi/pd/new/results_ncmmsc_2/mask_random_binary_1_20260215_113141
Mask strategy: random
Collected 187 samples from NCMMSC long/train
Split by subject: train=157 samples, val=30 samples
Using masker: mask_prob=0.4, pathology_ratio=0.9, pathology_threshold=85.0, aug_prob=1.0
LR schedule: cosine (total_steps=800, warmup=80)
Training with AMP (autocast + GradScaler)
Epoch 1 TRAIN | loss=0.6893, acc=0.5223
VALIDATION | acc=0.7667
New best val_acc=0.7667 at epoch 1, saved to /home/sunqi/pd/new/results_ncmmsc_2/mask_random_binary_1_20260215_113141/best_model.pt
Epoch 2 TRAIN | loss=0.6263, acc=0.7261
VALIDATION | acc=0.6333
Epoch 3 TRAIN | loss=0.5109, acc=0.8153
VALIDATION | acc=0.7000
Epoch 4 TRAIN | loss=0.4107, acc=0.8535
VALIDATION | acc=0.5000
Epoch 5 TRAIN | loss=0.3337, acc=0.8854
VALIDATION | acc=0.5333
Epoch 6 TRAIN | loss=0.3311, acc=0.8854
VALIDATION | acc=0.5333
Epoch 7 TRAIN | loss=0.1926, acc=0.9490
VALIDATION | acc=0.5667
Epoch 8 TRAIN | loss=0.2126, acc=0.9490
VALIDATION | acc=0.5000
Epoch 9 TRAIN | loss=0.2031, acc=0.9554
VALIDATION | acc=0.5667
Epoch 10 TRAIN | loss=0.2330, acc=0.9490
VALIDATION | acc=0.7667
Epoch 11 TRAIN | loss=0.2182, acc=0.9427
VALIDATION | acc=0.7333
Epoch 12 TRAIN | loss=0.1088, acc=0.9745
VALIDATION | acc=0.7000
Epoch 13 TRAIN | loss=0.0201, acc=0.9936
VALIDATION | acc=0.7333
Epoch 14 TRAIN | loss=0.0458, acc=0.9936
VALIDATION | acc=0.7000
Epoch 15 TRAIN | loss=0.0441, acc=0.9873
VALIDATION | acc=0.7667
Epoch 16 TRAIN | loss=0.0294, acc=0.9936
VALIDATION | acc=0.7333
Epoch 17 TRAIN | loss=0.1217, acc=0.9682
VALIDATION | acc=0.7667
Epoch 18 TRAIN | loss=0.0105, acc=1.0000
VALIDATION | acc=0.7667
Epoch 19 TRAIN | loss=0.0146, acc=0.9936
VALIDATION | acc=0.7667
Epoch 20 TRAIN | loss=0.0146, acc=0.9936
VALIDATION | acc=0.7667
Done. Best val_acc=0.7667
Results saved under /home/sunqi/pd/new/results_ncmmsc_2/mask_random_binary_1_20260215_113141
