epoch,train_loss,train_acc,val_acc
1,0.6336,0.6422,0.6776
2,0.5908,0.7316,0.7730
3,0.5845,0.7546,0.8076
4,0.5240,0.8205,0.8250
5,0.4782,0.8469,0.8631
6,0.4215,0.8799,0.7626
7,0.3965,0.8916,0.8596
8,0.3329,0.9228,0.8527
9,0.3022,0.9345,0.8977
10,0.2371,0.9523,0.8631
11,0.1853,0.9666,0.8735
12,0.1156,0.9792,0.8977
13,0.1280,0.9757,0.8873
14,0.0897,0.9831,0.8943
15,0.0680,0.9874,0.8908
16,0.0326,0.9935,0.8839
17,0.0289,0.9952,0.8804
18,0.0203,0.9965,0.8891
19,0.0047,0.9991,0.8891
20,0.0082,0.9987,0.8873
