epoch,train_loss,train_acc,val_acc
1,0.6647,0.6097,0.6291
2,0.6218,0.6648,0.7262
3,0.5804,0.7151,0.6984
4,0.5457,0.7624,0.7262
5,0.5027,0.8049,0.7868
6,0.4821,0.8235,0.7504
7,0.4527,0.8487,0.7435
8,0.4274,0.8721,0.7955
9,0.4433,0.8656,0.7903
10,0.3427,0.8972,0.7955
11,0.3460,0.9050,0.8007
12,0.3156,0.9159,0.7920
13,0.2405,0.9441,0.7990
14,0.2200,0.9467,0.7972
15,0.1715,0.9614,0.8146
16,0.1608,0.9631,0.8007
17,0.1489,0.9683,0.8146
18,0.1115,0.9761,0.7990
19,0.1080,0.9748,0.7990
20,0.1000,0.9792,0.8042
